;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
2964;pe verdejante;VERDEJANTE;PE;2616100;26212;
2965;pe vertente do lerio;VERTENTE DO LÉRIO;PE;2616183;23086;
2966;pe vertentes;VERTENTES;PE;2616209;26239;
2967;pe vicencia;VICÊNCIA;PE;2616308;26255;
2968;pe vitoria de santo antao;VITÓRIA DE SANTO ANTÃO;PE;2616407;26271;
2969;pe xexeu;XEXÉU;PE;2616506;23060;
2970;pi acaua;ACAUÃ;PI;2200053;12327;
2971;pi agricolandia;AGRICOLÂNDIA;PI;2200103;10014;
2972;pi agua branca;ÁGUA BRANCA;PI;2200202;10030;
2973;pi alagoinha do piaui;ALAGOINHA DO PIAUÍ;PI;2200251;12319;
2974;pi alegrete do piaui;ALEGRETE DO PIAUÍ;PI;2200277;10022;
2975;pi alto longa;ALTO LONGÁ;PI;2200301;10057;
2976;pi altos;ALTOS;PI;2200400;10073;
2977;pi alvorada do gurgueia;ALVORADA DO GURGUÉIA;PI;2200459;12084;
2978;pi amarante;AMARANTE;PI;2200509;10090;
2979;pi angical do piaui;ANGICAL DO PIAUÍ;PI;2200608;10111;
2980;pi anisio de abreu;ANÍSIO DE ABREU;PI;2200707;10138;
2981;pi antonio almeida;ANTÔNIO ALMEIDA;PI;2200806;10154;
2982;pi aroazes;AROAZES;PI;2200905;10170;
2983;pi aroeiras do itaim;AROEIRAS DO ITAIM;PI;2200954;12734;
2984;pi arraial;ARRAIAL;PI;2201002;10197;
2985;pi assuncao do piaui;ASSUNÇÃO DO PIAUÍ;PI;2201051;12106;
2986;pi avelino lopes;AVELINO LOPES;PI;2201101;10219;
2987;pi baixa grande do ribeiro;BAIXA GRANDE DO RIBEIRO;PI;2201150;10049;
2988;pi barra dalcantara;BARRA D'ALCÂNTARA;PI;2201176;10600;
2989;pi barras;BARRAS;PI;2201200;10235;
2990;pi barreiras do piaui;BARREIRAS DO PIAUÍ;PI;2201309;10251;
2991;pi barro duro;BARRO DURO;PI;2201408;10278;
2992;pi batalha;BATALHA;PI;2201507;10294;
2993;pi bela vista do piaui;BELA VISTA DO PIAUÍ;PI;2201556;10626;
2994;pi belem do piaui;BELÉM DO PIAUÍ;PI;2201572;12335;
2995;pi beneditinos;BENEDITINOS;PI;2201606;10316;
2996;pi bertolinia;BERTOLÍNIA;PI;2201705;10332;
2997;pi betania do piaui;BETÂNIA DO PIAUÍ;PI;2201739;12122;
2998;pi boa hora;BOA HORA;PI;2201770;10669;
2999;pi bocaina;BOCAINA;PI;2201804;10359;
3000;pi bom jesus;BOM JESUS;PI;2201903;10375;
3001;pi bom principio do piaui;BOM PRINCÍPIO DO PIAUÍ;PI;2201919;10065;
3002;pi bonfim do piaui;BONFIM DO PIAUÍ;PI;2201929;10081;
3003;pi boqueirao do piaui;BOQUEIRÃO DO PIAUÍ;PI;2201945;12149;
3004;pi brasileira;BRASILEIRA;PI;2201960;10006;
3005;pi brejo do piaui;BREJO DO PIAUÍ;PI;2201988;10642;
3006;pi buriti dos lopes;BURITI DOS LOPES;PI;2202000;10391;
3007;pi buriti dos montes;BURITI DOS MONTES;PI;2202026;10103;
3008;pi cabeceiras do piaui;CABECEIRAS DO PIAUÍ;PI;2202059;10120;
3009;pi cajazeiras do piaui;CAJAZEIRAS DO PIAUÍ;PI;2202075;12343;
3010;pi cajueiro da praia;CAJUEIRO DA PRAIA;PI;2202083;12572;
3011;pi caldeirao grande do piaui;CALDEIRÃO GRANDE DO PIAUÍ;PI;2202091;10146;
3012;pi campinas do piaui;CAMPINAS DO PIAUÍ;PI;2202109;10413;
3013;pi campo alegre do fidalgo;CAMPO ALEGRE DO FIDALGO;PI;2202117;12351;
3014;pi campo grande do piaui;CAMPO GRANDE DO PIAUÍ;PI;2202133;10723;
3015;pi campo largo do piaui;CAMPO LARGO DO PIAUÍ;PI;2202174;10740;
3016;pi campo maior;CAMPO MAIOR;PI;2202208;10430;
3017;pi canavieira;CANAVIEIRA;PI;2202251;10162;
3018;pi canto do buriti;CANTO DO BURITI;PI;2202307;10456;
3019;pi capitao de campos;CAPITÃO DE CAMPOS;PI;2202406;10472;
3020;pi capitao gervasio oliveira;CAPITÃO GERVÁSIO OLIVEIRA;PI;2202455;10707;
3021;pi caracol;CARACOL;PI;2202505;10499;
3022;pi caraubas do piaui;CARAÚBAS DO PIAUÍ;PI;2202539;12670;
3023;pi caridade do piaui;CARIDADE DO PIAUÍ;PI;2202554;12165;
3024;pi castelo do piaui;CASTELO DO PIAUÍ;PI;2202604;10510;
3025;pi caxingo;CAXINGÓ;PI;2202653;12688;
3026;pi cocal;COCAL;PI;2202703;10537;
3027;pi cocal de telha;COCAL DE TELHA;PI;2202711;12360;
3028;pi cocal dos alves;COCAL DOS ALVES;PI;2202729;12696;
3029;pi coivaras;COIVARAS;PI;2202737;10189;
3030;pi colonia do gurgueia;COLÔNIA DO GURGUÉIA;PI;2202752;10200;
3031;pi colonia do piaui;COLÔNIA DO PIAUÍ;PI;2202778;10227;
3032;pi conceicao do caninde;CONCEIÇÃO DO CANINDÉ;PI;2202802;10553;
3033;pi coronel jose dias;CORONEL JOSÉ DIAS;PI;2202851;10243;
3034;pi corrente;CORRENTE;PI;2202901;10570;
3035;pi cristalandia do piaui;CRISTALÂNDIA DO PIAUÍ;PI;2203008;10596;
3036;pi cristino castro;CRISTINO CASTRO;PI;2203107;10618;
3037;pi curimata;CURIMATÁ;PI;2203206;10634;
3038;pi currais;CURRAIS;PI;2203230;10766;
3039;pi curral novo do piaui;CURRAL NOVO DO PIAUÍ;PI;2203271;12181;
3040;pi curralinhos;CURRALINHOS;PI;2203255;12580;
3041;pi demerval lobao;DEMERVAL LOBÃO;PI;2203305;10650;
3042;pi dirceu arcoverde;DIRCEU ARCOVERDE;PI;2203354;12297;
3043;pi dom expedito lopes;DOM EXPEDITO LOPES;PI;2203404;10677;
3044;pi dom inocencio;DOM INOCÊNCIO;PI;2203453;10685;
3045;pi domingos mourao;DOMINGOS MOURÃO;PI;2203420;11410;
3046;pi elesbao veloso;ELESBÃO VELOSO;PI;2203503;10693;
3047;pi eliseu martins;ELISEU MARTINS;PI;2203602;10715;
3048;pi esperantina;ESPERANTINA;PI;2203701;10731;
3049;pi fartura do piaui;FARTURA DO PIAUÍ;PI;2203750;10260;
3050;pi flores do piaui;FLORES DO PIAUÍ;PI;2203800;10758;
3051;pi floresta do piaui;FLORESTA DO PIAUÍ;PI;2203859;12637;
3052;pi floriano;FLORIANO;PI;2203909;10774;
3053;pi francinopolis;FRANCINÓPOLIS;PI;2204006;10790;
3054;pi francisco ayres;FRANCISCO AYRES;PI;2204105;10812;
3055;pi francisco macedo;FRANCISCO MACEDO;PI;2204154;12378;
3056;pi francisco santos;FRANCISCO SANTOS;PI;2204204;10839;
3057;pi fronteiras;FRONTEIRAS;PI;2204303;10855;
3058;pi geminiano;GEMINIANO;PI;2204352;10782;
3059;pi gilbues;GILBUÉS;PI;2204402;10871;
3060;pi guadalupe;GUADALUPE;PI;2204501;10898;
3061;pi guaribas;GUARIBAS;PI;2204550;10804;
3062;pi hugo napoleao;HUGO NAPOLEÃO;PI;2204600;10910;
3063;pi ilha grande;ILHA GRANDE;PI;2204659;10820;
3064;pi inhuma;INHUMA;PI;2204709;10936;
3065;pi ipiranga do piaui;IPIRANGA DO PIAUÍ;PI;2204808;10952;
3066;pi isaias coelho;ISAÍAS COELHO;PI;2204907;10979;
3067;pi itainopolis;ITAINÓPOLIS;PI;2205003;10995;
3068;pi itaueira;ITAUEIRA;PI;2205102;11010;
3069;pi jacobina do piaui;JACOBINA DO PIAUÍ;PI;2205151;10286;
3070;pi jaicos;JAICÓS;PI;2205201;11037;
3071;pi jardim do mulato;JARDIM DO MULATO;PI;2205250;10308;
3072;pi jatoba do piaui;JATOBÁ DO PIAUÍ;PI;2205276;12394;
3073;pi jerumenha;JERUMENHA;PI;2205300;11053;
3074;pi joao costa;JOÃO COSTA;PI;2205359;12386;
3075;pi joaquim pires;JOAQUIM PIRES;PI;2205409;11070;
3076;pi joca marques;JOCA MARQUES;PI;2205458;12408;
3077;pi jose de freitas;JOSÉ DE FREITAS;PI;2205508;11096;
3078;pi juazeiro do piaui;JUAZEIRO DO PIAUÍ;PI;2205516;12416;
3079;pi julio borges;JÚLIO BORGES;PI;2205524;12203;
3080;pi jurema;JUREMA;PI;2205532;10847;
3081;pi lagoa alegre;LAGOA ALEGRE;PI;2205557;10324;
3082;pi lagoa de sao francisco;LAGOA DE SÃO FRANCISCO;PI;2205573;10863;
3083;pi lagoa do barro do piaui;LAGOA DO BARRO DO PIAUÍ;PI;2205565;10340;
3084;pi lagoa do piaui;LAGOA DO PIAUÍ;PI;2205581;12424;
3085;pi lagoa do sitio;LAGOA DO SÍTIO;PI;2205599;12220;
3086;pi lagoinha do piaui;LAGOINHA DO PIAUÍ;PI;2205540;12432;
3087;pi landri sales;LANDRI SALES;PI;2205607;11118;
3088;pi luis correia;LUIS CORREIA;PI;2205706;11134;
3089;pi luzilandia;LUZILÂNDIA;PI;2205805;11150;
3090;pi madeiro;MADEIRO;PI;2205854;12440;
3091;pi manoel emidio;MANOEL EMÍDIO;PI;2205904;11177;
3092;pi marcolandia;MARCOLÂNDIA;PI;2205953;10367;
3093;pi marcos parente;MARCOS PARENTE;PI;2206001;11193;
3094;pi massape do piaui;MASSAPÊ DO PIAUÍ;PI;2206050;12467;
3095;pi matias olimpio;MATIAS OLÍMPIO;PI;2206100;11215;
3096;pi miguel alves;MIGUEL ALVES;PI;2206209;11231;
3097;pi miguel leao;MIGUEL LEÃO;PI;2206308;11258;
3098;pi milton brandao;MILTON BRANDÃO;PI;2206357;12246;
3099;pi monsenhor gil;MONSENHOR GIL;PI;2206407;11274;
3100;pi monsenhor hipolito;MONSENHOR HIPÓLITO;PI;2206506;11290;
3101;pi monte alegre do piaui;MONTE ALEGRE DO PIAUÍ;PI;2206605;11312;
3102;pi morro cabeca no tempo;MORRO CABEÇA NO TEMPO;PI;2206654;10880;
3103;pi morro do chapeu do piaui;MORRO DO CHAPÉU DO PIAUÍ;PI;2206670;12459;
3104;pi murici dos portelas;MURICI DOS PORTELAS;PI;2206696;12475;
3105;pi nazare do piaui;NAZARÉ DO PIAUÍ;PI;2206704;11339;
3106;pi nazaria;NAZÁRIA;PI;2206720;12726;
3107;pi nossa senhora de nazare;NOSSA SENHORA DE NAZARÉ;PI;2206753;10928;
3108;pi nossa senhora dos remedios;NOSSA SENHORA DOS REMÉDIOS;PI;2206803;11355;
3109;pi nova santa rita;NOVA SANTA RITA;PI;2207959;10960;
3110;pi novo oriente do piaui;NOVO ORIENTE DO PIAUÍ;PI;2206902;11371;
3111;pi novo santo antonio;NOVO SANTO ANTÔNIO;PI;2206951;10901;
3112;pi oeiras;OEIRAS;PI;2207009;11398;
3113;pi olho dagua do piaui;OLHO D'ÁGUA DO PIAUÍ;PI;2207108;12483;
3114;pi padre marcos;PADRE MARCOS;PI;2207207;11436;
3115;pi paes landim;PAES LANDIM;PI;2207306;11452;
3116;pi pajeu do piaui;PAJEÚ DO PIAUÍ;PI;2207355;12262;
3117;pi palmeira do piaui;PALMEIRA DO PIAUÍ;PI;2207405;11479;
3118;pi palmeirais;PALMEIRAIS;PI;2207504;11495;
3119;pi paqueta;PAQUETÁ;PI;2207553;10944;
3120;pi parnagua;PARNAGUÁ;PI;2207603;11517;
3121;pi parnaiba;PARNAÍBA;PI;2207702;11533;
3122;pi passagem franca do piaui;PASSAGEM FRANCA DO PIAUÍ;PI;2207751;10405;
3123;pi patos do piaui;PATOS DO PIAUÍ;PI;2207777;10383;
3124;pi pau darco do piaui;PAU D'ARCO DO PIAUÍ;PI;2207793;12718;
3125;pi paulistana;PAULISTANA;PI;2207801;11550;
3126;pi pavussu;PAVUSSU;PI;2207850;12289;
3127;pi pedro ii;PEDRO II;PI;2207900;11576;
3128;pi pedro laurentino;PEDRO LAURENTINO;PI;2207934;12491;
3129;pi picos;PICOS;PI;2208007;11592;
3130;pi pimenteiras;PIMENTEIRAS;PI;2208106;11614;
3131;pi pio ix;PIO IX;PI;2208205;11630;
3132;pi piracuruca;PIRACURUCA;PI;2208304;11657;
3133;pi piripiri;PIRIPIRI;PI;2208403;11673;
3134;pi porto;PORTO;PI;2208502;11690;
3135;pi porto alegre do piaui;PORTO ALEGRE DO PIAUÍ;PI;2208551;12599;
3136;pi prata do piaui;PRATA DO PIAUÍ;PI;2208601;11711;
3137;pi queimada nova;QUEIMADA NOVA;PI;2208650;10421;
3138;pi redencao do gurgueia;REDENÇÃO DO GURGUÉIA;PI;2208700;11738;
3139;pi regeneracao;REGENERAÇÃO;PI;2208809;11754;
3140;pi riacho frio;RIACHO FRIO;PI;2208858;12300;
3141;pi ribeira do piaui;RIBEIRA DO PIAUÍ;PI;2208874;12602;
3142;pi ribeiro goncalves;RIBEIRO GONÇALVES;PI;2208908;11770;
3143;pi rio grande do piaui;RIO GRANDE DO PIAUÍ;PI;2209005;11797;
3144;pi santa cruz do piaui;SANTA CRUZ DO PIAUÍ;PI;2209104;11819;
3145;pi santa cruz dos milagres;SANTA CRUZ DOS MILAGRES;PI;2209153;10448;
3146;pi santa filomena;SANTA FILOMENA;PI;2209203;11835;
3147;pi santa luz;SANTA LUZ;PI;2209302;11851;
3148;pi santa rosa do piaui;SANTA ROSA DO PIAUÍ;PI;2209377;10464;
3149;pi santana do piaui;SANTANA DO PIAUÍ;PI;2209351;10480;
3150;pi santo antonio de lisboa;SANTO ANTÔNIO DE LISBOA;PI;2209401;11878;
3151;pi santo antonio dos milagres;SANTO ANTÔNIO DOS MILAGRES;PI;2209450;12653;
3152;pi santo inacio do piaui;SANTO INÁCIO DO PIAUÍ;PI;2209500;11894;
3153;pi sao braz do piaui;SÃO BRAZ DO PIAUÍ;PI;2209559;10502;
3154;pi sao felix do piaui;SÃO FÉLIX DO PIAUÍ;PI;2209609;11916;
3155;pi sao francisco de assis do piaui;SÃO FRANCISCO DE ASSIS DO PIAUÍ;PI;2209658;12505;
3156;pi sao francisco do piaui;SÃO FRANCISCO DO PIAUÍ;PI;2209708;11932;
3157;pi sao goncalo do gurgueia;SÃO GONÇALO DO GURGUÉIA;PI;2209757;12610;
3158;pi sao goncalo do piaui;SÃO GONÇALO DO PIAUÍ;PI;2209807;11959;
3159;pi sao joao da canabrava;SÃO JOÃO DA CANABRAVA;PI;2209856;11088;
3160;pi sao joao da fronteira;SÃO JOÃO DA FRONTEIRA;PI;2209872;12009;
3161;pi sao joao da serra;SÃO JOÃO DA SERRA;PI;2209906;11975;
3162;pi sao joao da varjota;SÃO JOÃO DA VARJOTA;PI;2209955;12025;
3163;pi sao joao do arraial;SÃO JOÃO DO ARRAIAL;PI;2209971;10987;
3164;pi sao joao do piaui;SÃO JOÃO DO PIAUÍ;PI;2210003;11991;
3165;pi sao jose do divino;SÃO JOSÉ DO DIVINO;PI;2210052;10529;
3166;pi sao jose do peixe;SÃO JOSÉ DO PEIXE;PI;2210102;12017;
3167;pi sao jose do piaui;SÃO JOSÉ DO PIAUÍ;PI;2210201;12033;
3168;pi sao juliao;SÃO JULIÃO;PI;2210300;12050;
3169;pi sao lourenco do piaui;SÃO LOURENÇO DO PIAUÍ;PI;2210359;10561;
3170;pi sao luis do piaui;SÃO LUIS DO PIAUÍ;PI;2210375;12629;
3171;pi sao miguel da baixa grande;SÃO MIGUEL DA BAIXA GRANDE;PI;2210383;12661;
3172;pi sao miguel do fidalgo;SÃO MIGUEL DO FIDALGO;PI;2210391;12700;
3173;pi sao miguel do tapuio;SÃO MIGUEL DO TAPUIO;PI;2210409;12076;
3174;pi sao pedro do piaui;SÃO PEDRO DO PIAUÍ;PI;2210508;12092;
3175;pi sao raimundo nonato;SÃO RAIMUNDO NONATO;PI;2210607;12114;
3176;pi sebastiao barros;SEBASTIÃO BARROS;PI;2210623;12041;
3177;pi sebastiao leal;SEBASTIÃO LEAL;PI;2210631;12068;
3178;pi sigefredo pacheco;SIGEFREDO PACHECO;PI;2210656;10545;
3179;pi simoes;SIMÕES;PI;2210706;12130;
3180;pi simplicio mendes;SIMPLÍCIO MENDES;PI;2210805;12157;
3181;pi socorro do piaui;SOCORRO DO PIAUÍ;PI;2210904;12173;
3182;pi sussuapara;SUSSUAPARA;PI;2210938;12513;
3183;pi tamboril do piaui;TAMBORIL DO PIAUÍ;PI;2210953;12530;
3184;pi tanque do piaui;TANQUE DO PIAUÍ;PI;2210979;12521;
3185;pi teresina;TERESINA;PI;2211001;12190;
3186;pi uniao;UNIÃO;PI;2211100;12211;
3187;pi urucui;URUÇUÍ;PI;2211209;12238;
3188;pi valenca do piaui;VALENÇA DO PIAUÍ;PI;2211308;12254;
3189;pi varzea branca;VÁRZEA BRANCA;PI;2211357;10588;
3190;pi varzea grande;VÁRZEA GRANDE;PI;2211407;12270;
3191;pi vera mendes;VERA MENDES;PI;2211506;12556;
3192;pi vila nova do piaui;VILA NOVA DO PIAUÍ;PI;2211605;12548;
3193;pi wall ferraz;WALL FERRAZ;PI;2211704;12564;
3194;pr abatia;ABATIÁ;PR;4100103;74012;
3195;pr adrianopolis;ADRIANÓPOLIS;PR;4100202;74039;
3196;pr agudos do sul;AGUDOS DO SUL;PR;4100301;74055;
3197;pr almirante tamandare;ALMIRANTE TAMANDARÉ;PR;4100400;74071;
3198;pr altamira do parana;ALTAMIRA DO PARANÁ;PR;4100459;84557;
3199;pr alto paraiso;ALTO PARAÍSO;PR;4128625;74926;
3200;pr alto parana;ALTO PARANÁ;PR;4100608;74098;
3201;pr alto piquiri;ALTO PIQUIRI;PR;4100707;74110;
3202;pr altonia;ALTÔNIA;PR;4100509;79510;
3203;pr alvorada do sul;ALVORADA DO SUL;PR;4100806;74136;
3204;pr amapora;AMAPORÃ;PR;4100905;74152;
3205;pr ampere;AMPÉRE;PR;4101002;74179;
3206;pr anahy;ANAHY;PR;4101051;74101;
3207;pr andira;ANDIRÁ;PR;4101101;74195;
3208;pr angulo;ÂNGULO;PR;4101150;74128;
3209;pr antonina;ANTONINA;PR;4101200;74217;
3210;pr antonio olinto;ANTONIO OLINTO;PR;4101309;74233;
3211;pr apucarana;APUCARANA;PR;4101408;74250;
3212;pr arapongas;ARAPONGAS;PR;4101507;74276;
3213;pr arapoti;ARAPOTI;PR;4101606;74292;
3214;pr arapua;ARAPUÃ;PR;4101655;75108;
3215;pr araruna;ARARUNA;PR;4101705;74314;
3216;pr araucaria;ARAUCÁRIA;PR;4101804;74357;
3217;pr ariranha do ivai;ARIRANHA DO IVAÍ;PR;4101853;75086;
3218;pr assai;ASSAÍ;PR;4101903;74373;
3219;pr assis chateaubriand;ASSIS CHATEAUBRIAND;PR;4102000;79537;
3220;pr astorga;ASTORGA;PR;4102109;74390;
3221;pr atalaia;ATALAIA;PR;4102208;74411;
3222;pr balsa nova;BALSA NOVA;PR;4102307;74438;
3223;pr bandeirantes;BANDEIRANTES;PR;4102406;74454;
3224;pr barbosa ferraz;BARBOSA FERRAZ;PR;4102505;74470;
3225;pr barra do jacare;BARRA DO JACARÉ;PR;4102703;74519;
3226;pr barracao;BARRACÃO;PR;4102604;74497;
3227;pr bela vista da caroba;BELA VISTA DA CAROBA;PR;4102752;75124;
3228;pr bela vista do paraiso;BELA VISTA DO PARAÍSO;PR;4102802;74535;
3229;pr bituruna;BITURUNA;PR;4102901;74551;
3230;pr boa esperanca;BOA ESPERANÇA;PR;4103008;74578;
3231;pr boa esperanca do iguacu;BOA ESPERANÇA DO IGUAÇU;PR;4103024;74144;
3232;pr boa ventura de sao roque;BOA VENTURA DE SÃO ROQUE;PR;4103040;75140;
3233;pr boa vista da aparecida;BOA VISTA DA APARECIDA;PR;4103057;79812;
3234;pr bocaiuva do sul;BOCAIÚVA DO SUL;PR;4103107;74594;
3235;pr bom jesus do sul;BOM JESUS DO SUL;PR;4103156;75167;
3236;pr bom sucesso;BOM SUCESSO;PR;4103206;74616;
3237;pr bom sucesso do sul;BOM SUCESSO DO SUL;PR;4103222;74160;
3238;pr borrazopolis;BORRAZÓPOLIS;PR;4103305;74632;
3239;pr braganey;BRAGANEY;PR;4103354;79839;
3240;pr brasilandia do sul;BRASILÂNDIA DO SUL;PR;4103370;74187;
3241;pr cafeara;CAFEARA;PR;4103404;74659;
3242;pr cafelandia;CAFELÂNDIA;PR;4103453;79855;
3243;pr cafezal do sul;CAFEZAL DO SUL;PR;4103479;74209;
3244;pr california;CALIFÓRNIA;PR;4103503;74675;
3245;pr cambara;CAMBARÁ;PR;4103602;74691;
3246;pr cambe;CAMBÉ;PR;4103701;74713;
3247;pr cambira;CAMBIRA;PR;4103800;74730;
3248;pr campina da lagoa;CAMPINA DA LAGOA;PR;4103909;74756;
3249;pr campina do simao;CAMPINA DO SIMÃO;PR;4103958;75183;
3250;pr campina grande do sul;CAMPINA GRANDE DO SUL;PR;4104006;74772;
3251;pr campo bonito;CAMPO BONITO;PR;4104055;74780;
3252;pr campo do tenente;CAMPO DO TENENTE;PR;4104105;74799;
3253;pr campo largo;CAMPO LARGO;PR;4104204;74810;
3254;pr campo magro;CAMPO MAGRO;PR;4104253;75205;
3255;pr campo mourao;CAMPO MOURÃO;PR;4104303;74837;
3256;pr candido de abreu;CÂNDIDO DE ABREU;PR;4104402;74853;
3257;pr candoi;CANDÓI;PR;4104428;74225;
3258;pr cantagalo;CANTAGALO;PR;4104451;84514;
3259;pr capanema;CAPANEMA;PR;4104501;74870;
3260;pr capitao leonidas marques;CAPITÃO LEÔNIDAS MARQUES;PR;4104600;74896;
3261;pr carambei;CARAMBEÍ;PR;4104659;75221;
3262;pr carlopolis;CARLÓPOLIS;PR;4104709;74918;
3263;pr cascavel;CASCAVEL;PR;4104808;74934;
3264;pr castro;CASTRO;PR;4104907;74950;
3265;pr catanduvas;CATANDUVAS;PR;4105003;74977;
3266;pr centenario do sul;CENTENÁRIO DO SUL;PR;4105102;74993;
3267;pr cerro azul;CERRO AZUL;PR;4105201;75019;
3268;pr ceu azul;CÉU AZUL;PR;4105300;79570;
3269;pr chopinzinho;CHOPINZINHO;PR;4105409;75035;
3270;pr cianorte;CIANORTE;PR;4105508;75051;
3271;pr cidade gaucha;CIDADE GAÚCHA;PR;4105607;75078;
3272;pr clevelandia;CLEVELÂNDIA;PR;4105706;75094;
3273;pr colombo;COLOMBO;PR;4105805;75132;
3274;pr colorado;COLORADO;PR;4105904;75159;
3275;pr congonhinhas;CONGONHINHAS;PR;4106001;75175;
3276;pr conselheiro mairinck;CONSELHEIRO MAIRINCK;PR;4106100;75191;
3277;pr contenda;CONTENDA;PR;4106209;75213;
3278;pr corbelia;CORBÉLIA;PR;4106308;75230;
3279;pr cornelio procopio;CORNÉLIO PROCÓPIO;PR;4106407;75256;
3280;pr coronel domingos soares;CORONEL DOMINGOS SOARES;PR;4106456;75248;
3281;pr coronel vivida;CORONEL VIVIDA;PR;4106506;75272;
3282;pr corumbatai do sul;CORUMBATAÍ DO SUL;PR;4106555;75280;
3283;pr cruz machado;CRUZ MACHADO;PR;4106803;75337;
3284;pr cruzeiro do iguacu;CRUZEIRO DO IGUAÇU;PR;4106571;74241;
3285;pr cruzeiro do oeste;CRUZEIRO DO OESTE;PR;4106605;75299;
3286;pr cruzeiro do sul;CRUZEIRO DO SUL;PR;4106704;75310;
3287;pr cruzmaltina;CRUZMALTINA;PR;4106852;75264;
3288;pr curitiba;CURITIBA;PR;4106902;75353;
3289;pr curiuva;CURIÚVA;PR;4107009;75370;
3290;pr diamante do norte;DIAMANTE DO NORTE;PR;4107108;75396;
3291;pr diamante do sul;DIAMANTE DO SUL;PR;4107124;74268;
3292;pr diamante doeste;DIAMANTE D'OESTE;PR;4107157;75400;
3293;pr dois vizinhos;DOIS VIZINHOS;PR;4107207;75418;
3294;pr douradina;DOURADINA;PR;4107256;84654;
3295;pr doutor camargo;DOUTOR CAMARGO;PR;4107306;75434;
3296;pr doutor ulysses;DOUTOR ULYSSES;PR;4128633;74942;
3297;pr eneas marques;ENÉAS MARQUES;PR;4107405;75450;
3298;pr engenheiro beltrao;ENGENHEIRO BELTRÃO;PR;4107504;75477;
3299;pr entre rios do oeste;ENTRE RIOS DO OESTE;PR;4107538;74284;
3300;pr esperanca nova;ESPERANÇA NOVA;PR;4107520;75302;
3301;pr espigao alto do iguacu;ESPIGÃO ALTO DO IGUAÇU;PR;4107546;75329;
3302;pr farol;FAROL;PR;4107553;74306;
3303;pr faxinal;FAXINAL;PR;4107603;75493;
3304;pr fazenda rio grande;FAZENDA RIO GRANDE;PR;4107652;74322;
3305;pr fenix;FÊNIX;PR;4107702;75515;
3306;pr fernandes pinheiro;FERNANDES PINHEIRO;PR;4107736;75345;
3307;pr figueira;FIGUEIRA;PR;4107751;84573;
3308;pr flor da serra do sul;FLOR DA SERRA DO SUL;PR;4107850;74349;
3309;pr florai;FLORAÍ;PR;4107801;75531;
3310;pr floresta;FLORESTA;PR;4107900;75558;
3311;pr florestopolis;FLORESTÓPOLIS;PR;4108007;75574;
3312;pr florida;FLÓRIDA;PR;4108106;75590;
3313;pr formosa do oeste;FORMOSA DO OESTE;PR;4108205;75612;
3314;pr foz do iguacu;FOZ DO IGUAÇU;PR;4108304;75639;
3315;pr foz do jordao;FOZ DO JORDÃO;PR;4108452;75361;
3316;pr francisco alves;FRANCISCO ALVES;PR;4108320;79774;
3317;pr francisco beltrao;FRANCISCO BELTRÃO;PR;4108403;75655;
3318;pr general carneiro;GENERAL CARNEIRO;PR;4108502;75671;
3319;pr godoy moreira;GODOY MOREIRA;PR;4108551;74004;
3320;pr goioere;GOIOERÊ;PR;4108601;75698;
3321;pr goioxim;GOIOXIM;PR;4108650;75388;
3322;pr grandes rios;GRANDES RIOS;PR;4108700;79596;
3323;pr guaira;GUAÍRA;PR;4108809;75710;
3324;pr guairaca;GUAIRAÇÁ;PR;4108908;75736;
3325;pr guamiranga;GUAMIRANGA;PR;4108957;75426;
3326;pr guapirama;GUAPIRAMA;PR;4109005;75752;
3327;pr guaporema;GUAPOREMA;PR;4109104;75779;
3328;pr guaraci;GUARACI;PR;4109203;75795;
3329;pr guaraniacu;GUARANIAÇU;PR;4109302;75817;
3330;pr guarapuava;GUARAPUAVA;PR;4109401;75833;
3331;pr guaraquecaba;GUARAQUEÇABA;PR;4109500;75850;
3332;pr guaratuba;GUARATUBA;PR;4109609;75876;
3333;pr honorio serpa;HONÓRIO SERPA;PR;4109658;74365;
3334;pr ibaiti;IBAITI;PR;4109708;75892;
3335;pr ibema;IBEMA;PR;4109757;74020;
3336;pr ibipora;IBIPORÃ;PR;4109807;75914;
3337;pr icaraima;ICARAÍMA;PR;4109906;75930;
3338;pr iguaracu;IGUARAÇU;PR;4110003;75957;
3339;pr iguatu;IGUATU;PR;4110052;74381;
3340;pr imbau;IMBAÚ;PR;4110078;75442;
3341;pr imbituva;IMBITUVA;PR;4110102;75973;
3342;pr inacio martins;INÁCIO MARTINS;PR;4110201;75990;
3343;pr inaja;INAJÁ;PR;4110300;76015;
3344;pr indianopolis;INDIANÓPOLIS;PR;4110409;79618;
3345;pr ipiranga;IPIRANGA;PR;4110508;76031;
3346;pr ipora;IPORÃ;PR;4110607;76058;
3347;pr iracema do oeste;IRACEMA DO OESTE;PR;4110656;74403;
3348;pr irati;IRATI;PR;4110706;76074;
3349;pr iretama;IRETAMA;PR;4110805;76090;
3350;pr itaguaje;ITAGUAJÉ;PR;4110904;76112;
3351;pr itaipulandia;ITAIPULÂNDIA;PR;4110953;75000;
3352;pr itambaraca;ITAMBARACÁ;PR;4111001;76139;
3353;pr itambe;ITAMBÉ;PR;4111100;76155;
3354;pr itapejara doeste;ITAPEJARA D'OESTE;PR;4111209;76171;
3355;pr itaperucu;ITAPERUÇU;PR;4111258;74446;
