;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
220;ba antonio cardoso;ANTÔNIO CARDOSO;BA;2901700;33332;
221;ba antonio goncalves;ANTÔNIO GONÇALVES;BA;2901809;33359;
222;ba apora;APORÁ;BA;2901908;33375;
223;ba apuarema;APUAREMA;BA;2901957;33405;
224;ba aracas;ARAÇÁS;BA;2902054;33383;
225;ba aracatu;ARACATU;BA;2902005;33391;
226;ba araci;ARACI;BA;2902104;33413;
227;ba aramari;ARAMARI;BA;2902203;33430;
228;ba arataca;ARATACA;BA;2902252;30732;
229;ba aratuipe;ARATUÍPE;BA;2902302;33456;
230;ba aurelino leal;AURELINO LEAL;BA;2902401;33472;
231;ba baianopolis;BAIANÓPOLIS;BA;2902500;33499;
232;ba baixa grande;BAIXA GRANDE;BA;2902609;33510;
233;ba banzae;BANZAÊ;BA;2902658;33529;
234;ba barra;BARRA;BA;2902708;33537;
235;ba barra da estiva;BARRA DA ESTIVA;BA;2902807;33553;
236;ba barra do choca;BARRA DO CHOÇA;BA;2902906;33570;
237;ba barra do mendes;BARRA DO MENDES;BA;2903003;33596;
238;ba barra do rocha;BARRA DO ROCHA;BA;2903102;33618;
239;ba barreiras;BARREIRAS;BA;2903201;33634;
240;ba barro alto;BARRO ALTO;BA;2903235;30759;
241;ba barro preto;BARRO PRETO;BA;2903300;33650;
242;ba barrocas;BARROCAS;BA;2903276;30775;
243;ba belmonte;BELMONTE;BA;2903409;33677;
244;ba belo campo;BELO CAMPO;BA;2903508;33693;
245;ba biritinga;BIRITINGA;BA;2903607;33715;
246;ba boa nova;BOA NOVA;BA;2903706;33731;
247;ba boa vista do tupim;BOA VISTA DO TUPIM;BA;2903805;33758;
248;ba bom jesus da lapa;BOM JESUS DA LAPA;BA;2903904;33774;
249;ba bom jesus da serra;BOM JESUS DA SERRA;BA;2903953;33782;
250;ba boninal;BONINAL;BA;2904001;33790;
251;ba bonito;BONITO;BA;2904050;33804;
252;ba boquira;BOQUIRA;BA;2904100;33812;
253;ba botupora;BOTUPORÃ;BA;2904209;33839;
254;ba brejoes;BREJÕES;BA;2904308;33855;
255;ba brejolandia;BREJOLÂNDIA;BA;2904407;33871;
256;ba brotas de macaubas;BROTAS DE MACAÚBAS;BA;2904506;33898;
257;ba brumado;BRUMADO;BA;2904605;33910;
258;ba buerarema;BUERAREMA;BA;2904704;33936;
259;ba buritirama;BURITIRAMA;BA;2904753;30791;
260;ba caatiba;CAATIBA;BA;2904803;33952;
261;ba cabaceiras do paraguacu;CABACEIRAS DO PARAGUAÇU;BA;2904852;33960;
262;ba cachoeira;CACHOEIRA;BA;2904902;33979;
263;ba cacule;CACULÉ;BA;2905008;33995;
264;ba caem;CAEM;BA;2905107;34010;
265;ba caetanos;CAETANOS;BA;2905156;34029;
266;ba caetite;CAETITÉ;BA;2905206;34037;
267;ba cafarnaum;CAFARNAUM;BA;2905305;34053;
268;ba cairu;CAIRU;BA;2905404;34070;
269;ba caldeirao grande;CALDEIRÃO GRANDE;BA;2905503;34096;
270;ba camacan;CAMACAN;BA;2905602;34118;
271;ba camacari;CAMAÇARI;BA;2905701;34134;
272;ba camamu;CAMAMU;BA;2905800;34150;
273;ba campo alegre de lourdes;CAMPO ALEGRE DE LOURDES;BA;2905909;34177;
274;ba campo formoso;CAMPO FORMOSO;BA;2906006;34193;
275;ba canapolis;CANÁPOLIS;BA;2906105;34215;
276;ba canarana;CANARANA;BA;2906204;34231;
277;ba canavieiras;CANAVIEIRAS;BA;2906303;34258;
278;ba candeal;CANDEAL;BA;2906402;34274;
279;ba candeias;CANDEIAS;BA;2906501;34290;
280;ba candiba;CANDIBA;BA;2906600;34312;
281;ba candido sales;CÂNDIDO SALES;BA;2906709;34339;
282;ba cansancao;CANSANÇÃO;BA;2906808;34355;
283;ba canudos;CANUDOS;BA;2906824;30856;
284;ba capela do alto alegre;CAPELA DO ALTO ALEGRE;BA;2906857;30813;
285;ba capim grosso;CAPIM GROSSO;BA;2906873;30830;
286;ba caraibas;CARAÍBAS;BA;2906899;34363;
287;ba caravelas;CARAVELAS;BA;2906907;34371;
288;ba cardeal da silva;CARDEAL DA SILVA;BA;2907004;34398;
289;ba carinhanha;CARINHANHA;BA;2907103;34410;
290;ba casa nova;CASA NOVA;BA;2907202;34436;
291;ba castro alves;CASTRO ALVES;BA;2907301;34452;
292;ba catolandia;CATOLÂNDIA;BA;2907400;34479;
293;ba catu;CATU;BA;2907509;34495;
294;ba caturama;CATURAMA;BA;2907558;34509;
295;ba central;CENTRAL;BA;2907608;34517;
296;ba chorrocho;CHORROCHÓ;BA;2907707;34533;
297;ba cicero dantas;CÍCERO DANTAS;BA;2907806;34550;
298;ba cipo;CIPÓ;BA;2907905;34576;
299;ba coaraci;COARACI;BA;2908002;34592;
300;ba cocos;COCOS;BA;2908101;34614;
301;ba conceicao da feira;CONCEIÇÃO DA FEIRA;BA;2908200;34630;
302;ba conceicao do almeida;CONCEIÇÃO DO ALMEIDA;BA;2908309;34657;
303;ba conceicao do coite;CONCEIÇÃO DO COITÉ;BA;2908408;34673;
304;ba conceicao do jacuipe;CONCEIÇÃO DO JACUÍPE;BA;2908507;34690;
305;ba conde;CONDE;BA;2908606;34711;
306;ba condeuba;CONDEÚBA;BA;2908705;34738;
307;ba contendas do sincora;CONTENDAS DO SINCORÁ;BA;2908804;34754;
308;ba coracao de maria;CORAÇÃO DE MARIA;BA;2908903;34770;
309;ba cordeiros;CORDEIROS;BA;2909000;34797;
310;ba coribe;CORIBE;BA;2909109;34819;
311;ba coronel joao sa;CORONEL JOÃO SÁ;BA;2909208;34835;
312;ba correntina;CORRENTINA;BA;2909307;34851;
313;ba cotegipe;COTEGIPE;BA;2909406;34878;
314;ba cravolandia;CRAVOLÂNDIA;BA;2909505;34894;
315;ba crisopolis;CRISÓPOLIS;BA;2909604;34916;
316;ba cristopolis;CRISTÓPOLIS;BA;2909703;34932;
317;ba cruz das almas;CRUZ DAS ALMAS;BA;2909802;34959;
318;ba curaca;CURAÇÁ;BA;2909901;34975;
319;ba dario meira;DÁRIO MEIRA;BA;2910008;34991;
320;ba dias davila;DIAS D'ÁVILA;BA;2910057;30872;
321;ba dom basilio;DOM BASÍLIO;BA;2910107;35017;
322;ba dom macedo costa;DOM MACEDO COSTA;BA;2910206;35033;
323;ba elisio medrado;ELÍSIO MEDRADO;BA;2910305;35050;
324;ba encruzilhada;ENCRUZILHADA;BA;2910404;35076;
325;ba entre rios;ENTRE RIOS;BA;2910503;35092;
326;ba erico cardoso;ÉRICO CARDOSO;BA;2900504;33090;
327;ba esplanada;ESPLANADA;BA;2910602;35114;
328;ba euclides da cunha;EUCLIDES DA CUNHA;BA;2910701;35130;
329;ba eunapolis;EUNÁPOLIS;BA;2910727;30058;
330;ba fatima;FÁTIMA;BA;2910750;30899;
331;ba feira da mata;FEIRA DA MATA;BA;2910776;35149;
332;ba feira de santana;FEIRA DE SANTANA;BA;2910800;35157;
333;ba filadelfia;FILADÉLFIA;BA;2910859;30910;
334;ba firmino alves;FIRMINO ALVES;BA;2910909;35173;
335;ba floresta azul;FLORESTA AZUL;BA;2911006;35190;
336;ba formosa do rio preto;FORMOSA DO RIO PRETO;BA;2911105;35211;
337;ba gandu;GANDU;BA;2911204;35238;
338;ba gaviao;GAVIÃO;BA;2911253;30937;
339;ba gentio do ouro;GENTIO DO OURO;BA;2911303;35254;
340;ba gloria;GLÓRIA;BA;2911402;35270;
341;ba gongogi;GONGOGI;BA;2911501;35297;
342;ba governador mangabeira;GOVERNADOR MANGABEIRA;BA;2911600;35319;
343;ba guajeru;GUAJERU;BA;2911659;30953;
344;ba guanambi;GUANAMBI;BA;2911709;35335;
345;ba guaratinga;GUARATINGA;BA;2911808;35351;
346;ba heliopolis;HELIÓPOLIS;BA;2911857;30970;
347;ba iacu;IAÇU;BA;2911907;35378;
348;ba ibiassuce;IBIASSUCÊ;BA;2912004;35394;
349;ba ibicarai;IBICARAÍ;BA;2912103;35416;
350;ba ibicoara;IBICOARA;BA;2912202;35432;
351;ba ibicui;IBICUÍ;BA;2912301;35459;
352;ba ibipeba;IBIPEBA;BA;2912400;35475;
353;ba ibipitanga;IBIPITANGA;BA;2912509;35513;
354;ba ibiquera;IBIQUERA;BA;2912608;35530;
355;ba ibirapitanga;IBIRAPITANGA;BA;2912707;35556;
356;ba ibirapua;IBIRAPUÃ;BA;2912806;35572;
357;ba ibirataia;IBIRATAIA;BA;2912905;35599;
358;ba ibitiara;IBITIARA;BA;2913002;35610;
359;ba ibitita;IBITITÁ;BA;2913101;35637;
360;ba ibotirama;IBOTIRAMA;BA;2913200;35653;
361;ba ichu;ICHU;BA;2913309;35670;
362;ba igapora;IGAPORÃ;BA;2913408;35696;
363;ba igrapiuna;IGRAPIÚNA;BA;2913457;35700;
364;ba iguai;IGUAÍ;BA;2913507;35718;
365;ba ilheus;ILHÉUS;BA;2913606;35734;
366;ba inhambupe;INHAMBUPE;BA;2913705;35750;
367;ba ipecaeta;IPECAETÁ;BA;2913804;35777;
368;ba ipiau;IPIAÚ;BA;2913903;35793;
369;ba ipira;IPIRÁ;BA;2914000;35815;
